id,autores,autor_1,autor_2,autor_3,autor_4,autor_5,autor_6,autor_7,autor_8,autor_9,autor_10,autor_11,autor_12,autor_13
310,Ballesteros Trujillo B.,Ballesteros Trujillo B.,,,,,,,,,,,,
311,Ledo C.,Ledo C.,,,,,,,,,,,,
312,Vargas N.,Vargas N.,,,,,,,,,,,,
313,Red Habitat,Red Habitat,,,,,,,,,,,,
314,Urquieta P.,Urquieta P.,,,,,,,,,,,,
315,Vargas N.,Vargas N.,,,,,,,,,,,,
316,Paz M.,Paz M.,,,,,,,,,,,,
317,"Calle V.,Sainz J.",Calle V.,Sainz J.,,,,,,,,,,,
318,Gaymer M.,Gaymer M.,,,,,,,,,,,,
319,Bedregal J.,Bedregal J.,,,,,,,,,,,,
320,Espinosa O.,Espinosa O.,,,,,,,,,,,,
321,Gaymer M.,Gaymer M.,,,,,,,,,,,,
322,Dockweiller C.,Dockweiller C.,,,,,,,,,,,,
323,Villarreal V.,Villarreal V.,,,,,,,,,,,,
324,Villanueva E.,Villanueva E.,,,,,,,,,,,,
325,Nuñez J.,Nuñez J.,,,,,,,,,,,,
326,Vargas J.,Vargas J.,,,,,,,,,,,,
327,"Sainz J.,Calle V.,Sepulveda G.",Sainz J.,Calle V.,Sepulveda G.,,,,,,,,,,
328,"Mollericona J.,Copa J.,Villca S.",Mollericona J.,Copa J.,Villca S.,,,,,,,,,,
329,"Pereira Morato R.,Velasco A.,Mendoza R.",Pereira Morato R.,Velasco A.,Mendoza R.,,,,,,,,,,
330,Sandoval G.,Sandoval G.,,,,,,,,,,,,
331,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
332,Aramayo L.,Aramayo L.,,,,,,,,,,,,
333,Mollericona J.,Mollericona J.,,,,,,,,,,,,
334,Antequera N.,Antequera N.,,,,,,,,,,,,
335,Lizarraga K.,Lizarraga K.,,,,,,,,,,,,
336,Nichols P.,Nichols P.,,,,,,,,,,,,
337,"Pereira Morato R.,Lopez Fernandez D.",Pereira Morato R.,Lopez Fernandez D.,,,,,,,,,,,
338,Müller J.,Müller J.,,,,,,,,,,,,
339,Moreno Valdivia A.,Moreno Valdivia A.,,,,,,,,,,,,
340,Ramirez A.,Ramirez A.,,,,,,,,,,,,
341,Aramburo T.,Aramburo T.,,,,,,,,,,,,
342,Villarroel P.,Villarroel P.,,,,,,,,,,,,
343,Saavedra L.,Saavedra L.,,,,,,,,,,,,
344,Cordova E.,Cordova E.,,,,,,,,,,,,
345,Roncken T.,Roncken T.,,,,,,,,,,,,
346,Chacin J.,Chacin J.,,,,,,,,,,,,
347,Matthews C.,Matthews C.,,,,,,,,,,,,
348,Matthews C.,Matthews C.,,,,,,,,,,,,
349,Matthews C.,Matthews C.,,,,,,,,,,,,
350,Matthews C.,Matthews C.,,,,,,,,,,,,
351,"Veizaga J.,Quillaguaman K.,Jimenez S.,Rubiano M.,Burbano A.,Ortiz I.,Lopez J.",Veizaga J.,Quillaguaman K.,Jimenez S.,Rubiano M.,Burbano A.,Ortiz I.,Lopez J.,,,,,,
352,Bolivar H.,Bolivar H.,,,,,,,,,,,,
353,"Saldaña L.,Ovando D.,Ramos L.,Valdez V.,Leigue M.,Delgado M.,Delgado B.,Brozovic F.,Brozovic T.",Saldaña L.,Ovando D.,Ramos L.,Valdez V.,Leigue M.,Delgado M.,Delgado B.,Brozovic F.,Brozovic T.,,,,
354,Diaz M.,Diaz M.,,,,,,,,,,,,
355,Arebalo M.,Arebalo M.,,,,,,,,,,,,
356,Laserna R.,Laserna R.,,,,,,,,,,,,
357,Vargas G.,Vargas G.,,,,,,,,,,,,
358,Roman O.,Roman O.,,,,,,,,,,,,
359,"Gottlieh E.,Lange A.,Orias C.",Gottlieh E.,Lange A.,Orias C.,,,,,,,,,,
360,Moreno D.,Moreno D.,,,,,,,,,,,,
361,"Delgado M.,Maldonado C.",Delgado M.,Maldonado C.,,,,,,,,,,,
362,Flores G.,Flores G.,,,,,,,,,,,,
363,Zegada M.,Zegada M.,,,,,,,,,,,,
364,Cuba L.,Cuba L.,,,,,,,,,,,,
365,Barroso J.,Barroso J.,,,,,,,,,,,,
366,"Zegada A., Bustamante R.",Zegada A., Bustamante R.,,,,,,,,,,,
